l00,l01,l02,l10,l11,l12,l20,l21,l22,li00,li01,li02,li10,li11,li12,li20,li21,li22,o1,o2
31638286866230,38730457311434,23053018471911,-18823976,18823976,-34669668,17338392,-17338392,-27878468,4,-2416000,6312183,4,4553617,-2355234,0,-4334598,-4705994,281197612767569,3976245225865
-23833236923027,4424408417647,46535507254637,6955444,-41256516,6955444,-28411084,6648380,-28411084,-4,-1545743,-6930160,0,-7102771,-1738861,4,-116352,-3383969,281197612767569,22706969338673
644000978512,-70368744177664,-15430321118383,12130624,0,40446276,-9080000,0,62539876,0,15634969,-10111569,-4,-354673,-757534,0,2270000,3032656,281197612767569,264837491300633
-21410370890401,27548002396862,-14727625149698,-14878340,-29756680,-29092872,6233532,12467064,-63484808,-8,-5560954,4404284,4,-5155124,1434467,0,-1558383,-3719585,281197612767569,194204186232129
-4765441487776,-12252945209363,-70368744177664,-10964608,35802036,0,-28805760,-8627308,0,0,-2156827,-8950509,0,7201440,-2741152,-4,-1107887,1083440,281197612767569,239551854244265
12181651090877,-58187093086787,-18210551801438,-6544652,-6544652,62693000,14937844,14937844,28939912,4,-5016087,13383446,-4,-2218891,2289804,0,3734461,1636163,281197612767569,245936394877009
-9512850802361,-19019102719361,-70368744177664,28174620,-26808836,0,9533564,30890076,0,0,7722519,6702209,0,-2383391,7043655,-4,-399797,-2809786,281197612767569,67917043352377
-7809137695104,62559606482560,-7048122665273,-7169536,-7169536,58908444,-16238080,-16238080,-23619364,-4,-5656155,-12913252,4,-248686,-1813859,0,4059520,-1792384,281197612767569,20119582002273
220250916686,70368744177664,3015184288027,-2611912,0,-125085588,-8076424,0,44280076,0,-11070019,-31271397,4,121164,69899,0,-2019106,652978,281197612767569,136794823761353
25512415908127,19343912361410,4775714743337,10348668,-20697336,60738724,-11649028,23298056,40425764,8,2382903,-4525337,4,-3861769,5329672,0,2912257,2587167,281197612767569,64931712635249
1960407503823,-70368744177664,22992755475379,-3394756,0,69788364,15193884,0,19307308,0,-4826827,17447091,-4,1106667,763366,0,3798471,848689,281197612767569,84724085428569
18103006273325,25854720767819,26411017136520,-26269516,-11382484,37652000,23156340,-32826004,9669664,4,-3968291,4526530,4,-1550875,-4886470,4,4238210,1680909,281197612767569,24598967523201
-5534819084654,-18893119247107,70368744177664,-7744952,39854068,0,24768776,17916628,0,0,-4479157,9963517,0,6192194,1936238,4,1310220,1303531,281197612767569,178048037105129
16400852159742,37567039858180,-14070276189165,-1016840,2033680,73573452,-15076872,30153744,-16366772,8,-677075,-9921135,4,1707309,4236114,0,3769218,-254210,281197612767569,77275884613265
-33974881505732,-36393862671932,4364032261887,-7190288,7190288,66461692,-16034192,16034192,-8378020,-4,-834656,-8704775,-4,1259849,7910648,0,4008548,-1797572,281197612767569,106671102329721
26681959781923,-43686784395741,9840241075607,-15045492,-15045492,36526684,13830220,13830220,41256732,4,-6886817,5143200,-4,-3427366,3988471,0,3457555,3761373,281197612767569,254990707435169
4038651816690,33165046180487,12305980435599,-18832440,9416220,48076348,9383816,-4691908,95614812,4,-11471031,5252966,8,961641,-1513155,0,1172977,2354055,281197612767569,258653120078345
10342616772155,-27405182433823,60026127405509,-168724,-42896508,168724,-26221204,6530308,26221204,4,-3945594,-9131495,0,-6555301,42181,4,-2313017,1592632,281197612767569,34332335263665
9729541910009,16092059855827,70368744177664,-12799004,-31915188,0,23970308,-28196180,0,0,-7049045,7978797,0,-5992577,-3199751,4,2345031,-371464,281197612767569,110135351384473
14634983392809,-26463793999237,-15987989417513,-5679964,-17039892,-105870500,5861476,17584428,-88969316,12,-9363551,8985884,-4,-4292926,5827247,0,-1465369,-1419991,281197612767569,6842059160001
25130237141578,16783180136259,-45238507036086,-10608344,-34107124,-10608344,-28897560,13224236,-28897560,4,-402351,-6114210,0,-7224390,2652086,-4,-2903708,-2412571,281197612767569,269482257578537
-20294377968548,-931553395641,-50074366209116,-22232720,16643356,22232720,21088624,34854684,-21088624,-4,-6270438,2887271,0,5272156,5558180,-4,2443233,-1273568,281197612767569,9570847274193
4111023451346,2557441995457,70368744177664,-4510904,-36067580,0,-29922168,10348196,0,0,-2587049,-9016895,0,-7480542,1127726,4,423007,485792,281197612767569,98410005091257
-26461705260163,43907038917501,-25707033556042,7354868,7354868,-47278376,22780724,22780724,6643800,-4,3116918,6703195,4,-1455968,5116399,0,-5695181,1838717,281197612767569,173165518295265
-20097091365123,50271652812541,3379479690750,2476020,2476020,-51560456,21286484,21286484,11453496,-4,1790031,9238466,4,1073343,3651648,0,-5321621,619005,281197612767569,254947926488649
